Region,Gender,Year,Variable,Number
Canada,Males,2010,Mood disorder,699288
Canada,Females,2010,Mood disorder,1183443
NFL,Males,2010,Mood disorder,9694
NFL,Females,2010,Mood disorder,17038
PEI,Males,2010,Mood disorder,4812
PEI,Females,2010,Mood disorder,5226
NS,Males,2010,Mood disorder,26166
NS,Females,2010,Mood disorder,43876
NB,Males,2010,Mood disorder,16439
NB,Females,2010,Mood disorder,33214
Quebec,Males,2010,Mood disorder,148662
Quebec,Females,2010,Mood disorder,204423
Ontario,Males,2010,Mood disorder,262023
Ontario,Females,2010,Mood disorder,490781
Manitoba,Males,2010,Mood disorder,21331
Manitoba,Females,2010,Mood disorder,43166
Saskatchewan,Males,2010,Mood disorder,20281
Saskatchewan,Females,2010,Mood disorder,34359
Alberta,Males,2010,Mood disorder,74998
Alberta,Females,2010,Mood disorder,153919
BC,Males,2010,Mood disorder,112193
BC,Females,2010,Mood disorder,153331
Yukon,Males,2010,Mood disorder,1755
Yukon,Females,2010,Mood disorder,1555
NWT,Males,2010,Mood disorder,668
NWT,Females,2010,Mood disorder,1801
Nunavut,Males,2010,Mood disorder,NA
Nunavut,Females,2010,Mood disorder,NA
Canada,Males,2011,Mood disorder,707388
Canada,Females,2011,Mood disorder,1334198
NFL,Males,2011,Mood disorder,7543
NFL,Females,2011,Mood disorder,18452
PEI,Males,2011,Mood disorder,4902
PEI,Females,2011,Mood disorder,5491
NS,Males,2011,Mood disorder,19318
NS,Females,2011,Mood disorder,54320
NB,Males,2011,Mood disorder,16361
NB,Females,2011,Mood disorder,36631
Quebec,Males,2011,Mood disorder,126065
Quebec,Females,2011,Mood disorder,206843
Ontario,Males,2011,Mood disorder,309611
Ontario,Females,2011,Mood disorder,563138
Manitoba,Males,2011,Mood disorder,28116
Manitoba,Females,2011,Mood disorder,55041
Saskatchewan,Males,2011,Mood disorder,25053
Saskatchewan,Females,2011,Mood disorder,44001
Alberta,Males,2011,Mood disorder,70093
Alberta,Females,2011,Mood disorder,137127
BC,Males,2011,Mood disorder,98553
BC,Females,2011,Mood disorder,208842
Yukon,Males,2011,Mood disorder,1050
Yukon,Females,2011,Mood disorder,2151
NWT,Males,2011,Mood disorder,NA
NWT,Females,2011,Mood disorder,1873
Nunavut,Males,2011,Mood disorder,NA
Nunavut,Females,2011,Mood disorder,NA
Canada,Males,2012,Mood disorder,776500
Canada,Females,2012,Mood disorder,1329381
NFL,Males,2012,Mood disorder,13917
NFL,Females,2012,Mood disorder,20840
PEI,Males,2012,Mood disorder,2615
PEI,Females,2012,Mood disorder,7940
NS,Males,2012,Mood disorder,23350
NS,Females,2012,Mood disorder,47715
NB,Males,2012,Mood disorder,21203
NB,Females,2012,Mood disorder,30443
Quebec,Males,2012,Mood disorder,138250
Quebec,Females,2012,Mood disorder,212049
Ontario,Males,2012,Mood disorder,332766
Ontario,Females,2012,Mood disorder,533838
Manitoba,Males,2012,Mood disorder,30843
Manitoba,Females,2012,Mood disorder,57022
Saskatchewan,Males,2012,Mood disorder,25067
Saskatchewan,Females,2012,Mood disorder,39083
Alberta,Males,2012,Mood disorder,83023
Alberta,Females,2012,Mood disorder,164716
BC,Males,2012,Mood disorder,103680
BC,Females,2012,Mood disorder,212840
Yukon,Males,2012,Mood disorder,961
Yukon,Females,2012,Mood disorder,780
NWT,Males,2012,Mood disorder,NA
NWT,Females,2012,Mood disorder,1467
Nunavut,Males,2012,Mood disorder,NA
Nunavut,Females,2012,Mood disorder,650
Canada,Males,2013,Mood disorder,899995
Canada,Females,2013,Mood disorder,1364645
NFL,Males,2013,Mood disorder,11092
NFL,Females,2013,Mood disorder,19223
PEI,Males,2013,Mood disorder,4448
PEI,Females,2013,Mood disorder,8473
NS,Males,2013,Mood disorder,32413
NS,Females,2013,Mood disorder,50598
NB,Males,2013,Mood disorder,20558
NB,Females,2013,Mood disorder,30349
Quebec,Males,2013,Mood disorder,132640
Quebec,Females,2013,Mood disorder,227770
Ontario,Males,2013,Mood disorder,374323
Ontario,Females,2013,Mood disorder,603017
Manitoba,Males,2013,Mood disorder,19963
Manitoba,Females,2013,Mood disorder,52704
Saskatchewan,Males,2013,Mood disorder,28091
Saskatchewan,Females,2013,Mood disorder,39072
Alberta,Males,2013,Mood disorder,86409
Alberta,Females,2013,Mood disorder,146742
BC,Males,2013,Mood disorder,188262
BC,Females,2013,Mood disorder,182150
Yukon,Males,2013,Mood disorder,544
Yukon,Females,2013,Mood disorder,2004
NWT,Males,2013,Mood disorder,NA
NWT,Females,2013,Mood disorder,1779
Nunavut,Males,2013,Mood disorder,NA
Nunavut,Females,2013,Mood disorder,NA
Canada,Males,2010,Strong sense of belonging,8920776
Canada,Females,2010,Strong sense of belonging,9430302
NFL,Males,2010,Strong sense of belonging,165491
NFL,Females,2010,Strong sense of belonging,175903
PEI,Males,2010,Strong sense of belonging,43843
PEI,Females,2010,Strong sense of belonging,43429
NS,Males,2010,Strong sense of belonging,267544
NS,Females,2010,Strong sense of belonging,292010
NB,Males,2010,Strong sense of belonging,210709
NB,Females,2010,Strong sense of belonging,229539
Quebec,Males,2010,Strong sense of belonging,1847489
Quebec,Females,2010,Strong sense of belonging,1885124
Ontario,Males,2010,Strong sense of belonging,3575589
Ontario,Females,2010,Strong sense of belonging,3851085
Manitoba,Males,2010,Strong sense of belonging,297897
Manitoba,Females,2010,Strong sense of belonging,331676
Saskatchewan,Males,2010,Strong sense of belonging,287834
Saskatchewan,Females,2010,Strong sense of belonging,290016
Alberta,Males,2010,Strong sense of belonging,948341
Alberta,Females,2010,Strong sense of belonging,932665
BC,Males,2010,Strong sense of belonging,1242387
BC,Females,2010,Strong sense of belonging,1367629
Yukon,Males,2010,Strong sense of belonging,12056
Yukon,Females,2010,Strong sense of belonging,11748
NWT,Males,2010,Strong sense of belonging,13955
NWT,Females,2010,Strong sense of belonging,12439
Nunavut,Males,2010,Strong sense of belonging,7643
Nunavut,Females,2010,Strong sense of belonging,7037
Canada,Males,2011,Strong sense of belonging,8735065
Canada,Females,2011,Strong sense of belonging,9553398
NFL,Males,2011,Strong sense of belonging,161026
NFL,Females,2011,Strong sense of belonging,170418
PEI,Males,2011,Strong sense of belonging,45709
PEI,Females,2011,Strong sense of belonging,44703
NS,Males,2011,Strong sense of belonging,270409
NS,Females,2011,Strong sense of belonging,292394
NB,Males,2011,Strong sense of belonging,211300
NB,Females,2011,Strong sense of belonging,234298
Quebec,Males,2011,Strong sense of belonging,1749402
Quebec,Females,2011,Strong sense of belonging,1892991
Ontario,Males,2011,Strong sense of belonging,3517584
Ontario,Females,2011,Strong sense of belonging,3826966
Manitoba,Males,2011,Strong sense of belonging,309362
Manitoba,Females,2011,Strong sense of belonging,346441
Saskatchewan,Males,2011,Strong sense of belonging,297848
Saskatchewan,Females,2011,Strong sense of belonging,288245
Alberta,Males,2011,Strong sense of belonging,918498
Alberta,Females,2011,Strong sense of belonging,1022656
BC,Males,2011,Strong sense of belonging,1221905
BC,Females,2011,Strong sense of belonging,1402009
Yukon,Males,2011,Strong sense of belonging,10846
Yukon,Females,2011,Strong sense of belonging,12212
NWT,Males,2011,Strong sense of belonging,14452
