Region,Gender,Year,Number_strong_sense_of_belonging
Canada,Males,2010,8920776
Canada,Females,2010,9430302
NFL,Males,2010,165491
NFL,Females,2010,175903
PEI,Males,2010,43843
PEI,Females,2010,43429
NS,Males,2010,267544
NS,Females,2010,292010
NB,Males,2010,210709
NB,Females,2010,229539
Quebec,Males,2010,1847489
Quebec,Females,2010,1885124
Ontario,Males,2010,3575589
Ontario,Females,2010,3851085
Manitoba,Males,2010,297897
Manitoba,Females,2010,331676
Saskatchewan,Males,2010,287834
Saskatchewan,Females,2010,290016
Alberta,Males,2010,948341
Alberta,Females,2010,932665
BC,Males,2010,1242387
BC,Females,2010,1367629
Yukon,Males,2010,12056
Yukon,Females,2010,11748
NWT,Males,2010,13955
NWT,Females,2010,12439
Nunavut,Males,2010,7643
Nunavut,Females,2010,7037
Canada,Males,2011,8735065
Canada,Females,2011,9553398
NFL,Males,2011,161026
NFL,Females,2011,170418
PEI,Males,2011,45709
PEI,Females,2011,44703
NS,Males,2011,270409
NS,Females,2011,292394
NB,Males,2011,211300
NB,Females,2011,234298
Quebec,Males,2011,1749402
Quebec,Females,2011,1892991
Ontario,Males,2011,3517584
Ontario,Females,2011,3826966
Manitoba,Males,2011,309362
Manitoba,Females,2011,346441
Saskatchewan,Males,2011,297848
Saskatchewan,Females,2011,288245
Alberta,Males,2011,918498
Alberta,Females,2011,1022656
BC,Males,2011,1221905
BC,Females,2011,1402009
Yukon,Males,2011,10846
Yukon,Females,2011,12212
NWT,Males,2011,14452
NWT,Females,2011,13123
Nunavut,Males,2011,6725
Nunavut,Females,2011,6943
Canada,Males,2012,9251958
Canada,Females,2012,9605218
NFL,Males,2012,161452
NFL,Females,2012,173575
PEI,Males,2012,43494
PEI,Females,2012,46598
NS,Males,2012,259262
NS,Females,2012,300101
NB,Males,2012,221157
NB,Females,2012,219722
Quebec,Males,2012,1929399
Quebec,Females,2012,1985207
Ontario,Males,2012,3676921
Ontario,Females,2012,3906263
Manitoba,Males,2012,352743
Manitoba,Females,2012,314629
Saskatchewan,Males,2012,294747
Saskatchewan,Females,2012,309271
Alberta,Males,2012,1041548
Alberta,Females,2012,970697
BC,Males,2012,1237696
BC,Females,2012,1348505
Yukon,Males,2012,10971
Yukon,Females,2012,10938
NWT,Males,2012,14946
NWT,Females,2012,12686
Nunavut,Males,2012,7621
Nunavut,Females,2012,7024
Canada,Males,2013,9262880
Canada,Females,2013,9781677
NFL,Males,2013,155462
NFL,Females,2013,173313
PEI,Males,2013,42167
PEI,Females,2013,45345
NS,Males,2013,271156
NS,Females,2013,289449
NB,Males,2013,206492
NB,Females,2013,235087
Quebec,Males,2013,1912437
Quebec,Females,2013,1966887
Ontario,Males,2013,3690854
Ontario,Females,2013,3921492
Manitoba,Males,2013,347528
Manitoba,Females,2013,340438
Saskatchewan,Males,2013,294745
Saskatchewan,Females,2013,305564
Alberta,Males,2013,1003467
Alberta,Females,2013,1044534
BC,Males,2013,1303376
BC,Females,2013,1423838
Yukon,Males,2013,11097
Yukon,Females,2013,11299
NWT,Males,2013,13584
NWT,Females,2013,13238
Nunavut,Males,2013,10514
Nunavut,Females,2013,11193
