Region,year_2010,year_2011,year_2012,year_2013
Canada_Males,8920776,8735065,9251958,9262880
Canada_Females,9430302,9553398,9605218,9781677
NFL_Males,165491,161026,161452,155462
NFL_Females,175903,170418,173575,173313
PEI_Males,43843,45709,43494,42167
PEI_Females,43429,44703,46598,45345
NS_Males,267544,270409,259262,271156
NS_Females,292010,292394,300101,289449
NB_Males,210709,211300,221157,206492
NB_Females,229539,234298,219722,235087
Quebec_Males,1847489,1749402,1929399,1912437
Quebec_Females,1885124,1892991,1985207,1966887
Ontario_Males,3575589,3517584,3676921,3690854
Ontario_Females,3851085,3826966,3906263,3921492
Manitoba_Males,297897,309362,352743,347528
Manitoba_Females,331676,346441,314629,340438
Saskatchewan_Males,287834,297848,294747,294745
Saskatchewan_Females,290016,288245,309271,305564
Alberta_Males,948341,918498,1041548,1003467
Alberta_Females,932665,1022656,970697,1044534
BC_Males,1242387,1221905,1237696,1303376
BC_Females,1367629,1402009,1348505,1423838
Yukon_Males,12056,10846,10971,11097
Yukon_Females,11748,12212,10938,11299
NWT_Males,13955,14452,14946,13584
NWT_Females,12439,13123,12686,13238
Nunavut_Males,7643,6725,7621,10514
Nunavut_Females,7037,6943,7024,11193
