Region,2010,2011,2012,2013
Canada_Males,699288,707388,776500,899995
Canada_Females,1183443,1334198,1329381,1364645
NFL_Males,9694,7543,13917,11092
NFL_Females,17038,18452,20840,19223
PEI_Males,4812,4902,2615,4448
PEI_Females,5226,5491,7940,8473
NS_Males,26166,19318,23350,32413
NS_Females,43876,54320,47715,50598
NB_Males,16439,16361,21203,20558
NB_Females,33214,36631,30443,30349
Quebec_Males,148662,126065,138250,132640
Quebec_Females,204423,206843,212049,227770
Ontario_Males,262023,309611,332766,374323
Ontario_Females,490781,563138,533838,603017
Manitoba_Males,21331,28116,30843,19963
Manitoba_Females,43166,55041,57022,52704
Saskatchewan_Males,20281,25053,25067,28091
Saskatchewan_Females,34359,44001,39083,39072
Alberta_Males,74998,70093,83023,86409
Alberta_Females,153919,137127,164716,146742
BC_Males,112193,98553,103680,188262
BC_Females,153331,208842,212840,182150
Yukon_Males,1755,1050,961,544
Yukon_Females,1555,2151,780,2004
NWT_Males,668,,,
NWT_Females,1801,1873,1467,1779
Nunavut_Males,,,,
Nunavut_Females,,,650,
